CSE Marine Diagnostic Report
Customer: hyrytesting
Dealer: cse
Selected Mode: Mode 4
Submitted: 7/17/2026, 9:37:28 AM
Cap: CSE_Marine

=== EEPROM ACTIVITY LOG ===
Firmware Version 3.2   Build 2026-07-07   Tag NS   ShipMode 4
LogIndex,TargPress,DHPressure,AHPressure,DLPressure,ALPressure,BattVoltage,AirToAdd,HeadMaxPress,RefVoltage,PumpRunCount,ChrgeCycCount,PumpInhFlag,ActLenDayKnt
00000,003.282,001.933,001.933,000.944,000.944,004.030,001.034,000.000,000.000,00000,00054,00000,08640
00001,003.282,002.383,001.978,000.944,000.944,003.642,000.000,001.349,000.000,00096,00027,00000,05885
00002,003.282,002.832,002.068,001.843,001.079,003.642,000.225,000.000,000.000,00000,00007,00000,11395
00003,003.282,002.518,002.113,002.023,001.214,003.565,000.360,000.764,000.000,00049,00000,00000,05885
00004,003.282,003.642,002.293,002.248,001.349,003.487,000.000,000.764,000.000,00015,00009,00001,11395
00005,003.282,003.327,002.428,002.338,001.484,003.565,000.000,000.000,000.000,00000,00044,00000,05885
00006,003.282,003.327,002.563,002.293,001.574,003.565,000.000,000.000,000.000,00000,00064,00000,08259
00007,003.282,003.012,002.608,001.978,001.619,003.604,000.135,000.000,000.000,00000,00045,00000,09397
00008,003.282,003.012,002.653,001.978,001.664,003.565,000.135,000.809,000.000,00023,00021,00000,07338
00009,003.282,002.293,002.608,001.978,001.708,003.487,000.450,000.764,000.000,00017,00000,00001,09942
00010,003.282,002.158,002.563,001.933,001.753,003.487,000.405,000.719,000.000,00002,00000,00001,07338
00011,003.282,003.192,002.653,001.888,001.753,003.565,000.045,000.719,000.000,00001,00054,00001,08626
00012,003.282,003.956,002.832,001.888,001.753,003.604,000.000,000.764,000.000,00001,00060,00000,09458
00013,003.282,003.057,002.877,001.888,001.753,003.604,000.090,000.000,000.000,00000,00060,00000,09034
00014,003.282,002.922,002.877,001.888,001.753,003.642,000.315,000.809,000.000,00003,00038,00000,08246
00015,003.282,003.912,003.012,001.888,001.753,003.565,000.000,000.000,000.000,00000,00033,00000,08634
00016,003.282,002.113,002.922,001.753,001.753,003.565,000.270,000.000,000.000,00000,00000,00000,08646
00017,003.282,002.203,002.832,001.708,001.753,003.487,000.360,000.899,000.000,00029,00000,00001,08283
00018,003.282,002.158,002.743,001.843,001.753,003.487,000.405,000.854,000.000,00003,00000,00001,09090
00019,003.282,003.237,002.788,001.933,001.798,003.565,000.000,000.854,000.000,00001,00055,00001,08190
00020,003.282,003.057,002.832,001.798,001.798,003.526,000.090,000.000,000.000,00000,00000,00001,09350
00021,003.282,003.372,002.922,001.708,001.798,003.449,000.000,000.809,000.000,00003,00000,00001,08142
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
65535,011.465,011.465,011.465,011.465,011.465,009.881,011.465,011.465,003.287,04095,02047,00001,65535
