CSE Marine Diagnostic Report
Customer: hyrytesting
Dealer: cse
Selected Mode: Mode 4
Submitted: 7/17/2026, 8:24:19 AM
Cap: CSE_Marine_8187

=== EEPROM ACTIVITY LOG ===
Firmware Version 3.2   Build 2026-07-07   Tag NS   ShipMode 4
LogIndex,TargPress,DHPressure,AHPressure,DLPressure,ALPressure,BattVoltage,AirToAdd,HeadMaxPress,RefVoltage,PumpRunCount,ChrgeCycCount,PumpInhFlag,ActLenDayKnt
00000,002.818,001.784,001.784,000.750,000.750,004.030,000.300,0-0.464,000.000,00000,00054,00000,08640
00001,002.818,002.009,001.829,000.795,000.750,003.759,0-0.464,000.615,000.000,00059,00002,00000,06178
00002,002.818,002.503,001.919,001.469,000.840,003.759,0-0.329,0-0.464,000.000,00000,00004,00000,11115
00003,002.818,002.054,001.919,001.694,000.930,003.681,000.210,0-0.015,000.000,00023,00000,00000,06255
00004,002.818,003.268,002.099,001.829,001.065,003.642,0-0.464,0-0.464,000.000,00000,00000,00000,11025
00005,002.818,003.088,002.234,002.099,001.199,003.642,0-0.464,0-0.464,000.000,00000,00050,00000,06255
00006,002.818,003.088,002.323,002.009,001.289,003.642,0-0.464,0-0.464,000.000,00000,00064,00000,07607
00007,002.818,002.863,002.413,001.829,001.379,003.642,0-0.464,0-0.464,000.000,00000,00045,00000,10901
00008,002.818,002.818,002.458,001.829,001.424,003.681,0-0.464,0-0.464,000.000,00000,00019,00000,07526
00009,002.818,002.054,002.413,001.784,001.469,003.642,0-0.194,0-0.464,000.000,00000,00000,00000,09754
00010,002.818,002.054,002.368,001.739,001.514,003.604,0-0.239,000.075,000.000,00028,00000,00000,08110
00011,002.818,003.313,002.503,001.829,001.559,003.565,0-0.464,000.075,000.000,00033,00048,00000,09338
00012,002.818,003.447,002.638,0-0.149,001.334,003.604,0-0.464,0-0.464,000.000,00000,00052,00000,07942
00013,002.818,003.178,002.728,001.919,001.424,003.604,0-0.464,0-0.464,000.000,00000,00073,00000,11898
00014,002.818,003.088,002.773,002.009,001.514,003.642,0-0.464,0-0.464,000.000,00000,00015,00000,05748
00015,002.818,003.672,002.908,001.919,001.559,003.642,0-0.464,0-0.464,000.000,00000,00018,00000,08164
00016,002.818,002.189,002.818,001.829,001.604,003.642,0-0.464,0-0.464,000.000,00000,00000,00000,08297
00017,002.818,002.099,002.728,001.784,001.649,003.642,0-0.374,0-0.464,000.000,00000,00000,00000,08257
00018,002.818,002.144,002.638,001.829,001.694,003.604,0-0.374,000.075,000.000,00007,00000,00000,09521
00019,002.818,003.268,002.728,001.874,001.739,003.642,0-0.464,000.075,000.000,00009,00056,00000,07759
00020,002.818,002.683,002.728,001.919,001.784,003.604,0-0.419,0-0.464,000.000,00000,00000,00000,09521
00021,002.818,003.807,002.863,001.739,001.784,003.604,0-0.464,000.030,000.000,00001,00000,00000,07704
65535,011.001,011.001,011.001,011.001,011.001,009.881,011.001,011.001,003.287,04095,02047,00001,65535
65535,011.001,011.001,011.001,011.001,011.001,009.881,011.001,011.001,003.287,04095,02047,00001,65535
65535,011.001,011.001,011.001,011.001,011.001,009.881,011.001,011.001,003.287,04095,02047,00001,65535
65535,011.001,011.001,011.001,011.001,011.001,009.881,011.001,011.001,003.287,04095,02047,00001,65535
65535,011.001,011.001,011.001,011.001,011.001,009.881,011.001,011.001,003.287,04095,02047,00001,65535
